,Voted,myv_van_id
0,1,10610
1,1,75940
2,1,112958
3,1,118580
4,1,140296
5,1,181222
6,1,198258
7,1,250974
8,1,266229
9,1,348628
10,1,412878
11,1,442310
12,0,460654
13,1,507675
14,1,586955
15,0,605920
16,1,635383
17,1,842506
18,1,926726
19,1,1526662
20,1,1989797
21,1,1990026
22,1,1990030
23,1,1990424
24,1,1991490
25,1,1991883
26,1,1992495
27,1,2044827
28,1,2046606
29,1,2049882
30,1,2051274
31,1,2052052
32,0,2052425
33,0,2053660
34,1,2124464
35,1,2125691
36,1,2126507
37,0,2131908
38,1,2135114
39,1,2135621
40,1,2136067
41,1,2137296
42,1,2138314
43,1,2138636
44,1,2141435
45,0,2154532
46,1,2156806
47,1,2157620
48,1,2158379
49,0,2160029
50,0,2160496
51,1,2161082
52,1,2162054
53,1,2162789
54,1,2170506
55,1,2324684
56,1,2325212
57,0,2325460
58,1,2326236
59,1,2328320
60,1,2332652
61,1,2345223
62,1,2346301
63,1,2350095
64,1,2350574
65,1,2351265
66,0,2352533
67,1,2353806
68,0,2405779
69,0,2408963
70,1,2411282
71,1,2411366
72,0,2413232
73,0,2457770
74,0,2520848
75,1,2733032
76,1,2779988
77,1,2843377
78,1,2862675
79,1,2868362
80,0,2876463
81,1,2889577
82,1,2930048
83,1,2967498
84,1,2970420
85,1,2987872
86,1,3006358
87,0,3018290
88,1,3027764
89,1,3062966
90,0,3092426
91,1,3093887
92,0,3112348
93,0,3124651
94,1,3152144
95,1,3201788
96,1,3203725
97,1,3211750
98,1,3211925
99,1,3212939
100,1,3212977
101,1,3213159
102,0,3213253
103,1,3216766
104,1,3218014
105,1,3218254
106,1,3219935
107,1,3227858
108,1,3228732
109,1,3229446
110,1,3231038
111,1,3232108
112,1,3232247
113,1,3232415
114,1,3233839
115,1,3239200
116,1,3240093
117,1,3240503
118,1,3243383
119,1,3247574
120,1,3248542
121,1,3250003
122,1,3250762
123,1,3251101
124,1,3251505
125,1,3262511
126,1,3273821
127,1,3288760
128,0,3289126
129,1,3289977
130,1,3292425
131,1,3294643
132,1,3308281
133,0,3308617
134,1,3309220
135,1,3309541
136,1,3309733
137,1,3310889
138,1,3310970
139,1,3312522
140,1,3313110
141,1,3334907
142,1,3335015
143,1,3336168
