myv_van_id,contact_type_name,datetime_canvassed,master_survey_question_name,master_survey_response_name
3727336,Phone,2016-10-31 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3596564,Phone,2016-10-21 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3460754,Phone,2016-10-11 00:00:00 UTC,**16cccRecVBMApp,"No, Not Received"
3489299,Phone,2018-07-28 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
4186850,Phone,2018-06-16 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3757127,Phone,2018-10-02 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3581391,Phone,2016-10-01 12:06:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3292258,Phone,2018-10-25 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
3534860,Walk,2016-10-14 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3496102,Walk,2018-02-10 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3449250,Walk,2016-10-29 00:00:00 UTC,MSQ2016 Vote Plan,Early Vote
4534780,Walk,2016-11-07 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
29077026,Walk,2018-09-16 00:00:00 UTC,2018MSQ: D Ticket ID,T- Ticket Splitter
11106538,Walk,2018-01-05 16:25:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
38184355,Walk,2018-09-21 12:59:00 UTC,MSQ2018: VOL DCCC,2= No
39614121,Walk,2018-07-29 15:57:00 UTC,MSQ2018: VOL DCCC,2= No
4535860,Walk,2018-09-29 00:00:00 UTC,MSQ2016 State House,5 - Support GOP
3953438,Walk,2018-07-08 16:36:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
2142714,Walk,2018-09-17 00:00:00 UTC,MSQ2016 State House,5 - Support GOP
4482109,Walk,2015-02-22 13:54:00 UTC,15 MSQ: Generic ID,1 - Strong Democrat
13772308,Walk,2018-09-01 12:27:00 UTC,2018MSQ: D Ticket ID,i- Independent
4447204,Walk,2018-10-06 12:31:00 UTC,MSQ2018: VOL DCCC,1= Yes
3624954,Walk,2018-08-02 15:52:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
39440774,Walk,2018-01-31 20:34:00 UTC,MSQ: Support Beto,5 - Strong Cruz
13248949,Walk,2018-10-19 14:59:00 UTC,MSQ2018: VOL DCCC,2= No
39622728,Walk,2018-10-18 14:35:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3442416,Walk,2018-10-20 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Not Voting
3576461,Paid Walk,2018-09-27 17:49:00 UTC,2018MSQ: D Ticket ID,T- Ticket Splitter
3688145,Phone,2018-06-22 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
4651117,Phone,2016-10-01 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3253165,Phone,2015-03-29 00:00:00 UTC,15 MSQ: Generic ID,2 - Lean Democrat
3431917,Phone,2016-09-21 00:00:00 UTC,MSQ2016 Vote Plan,Early Vote
2410341,Phone,2018-03-09 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3540346,Phone,2018-05-20 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3854340,Phone,2018-09-15 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
13694775,Phone,2018-05-14 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3984155,Phone,2018-06-16 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
4099783,Phone,2018-10-20 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
3740116,Walk,2017-12-10 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3449250,Walk,2016-10-29 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
4555536,Walk,2016-11-07 00:00:00 UTC,MSQ2016 Vote Plan,Early Vote
4165198,Walk,2016-07-30 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
39626470,Walk,2018-07-29 15:50:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
2132703,Walk,2018-11-04 11:15:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
4107452,Walk,2018-09-22 16:45:00 UTC,MSQ2018:CONG ID DCCC,4 - Lean GOP
3498081,Walk,2018-06-26 16:40:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
3534651,Walk,2018-09-23 14:42:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
4217787,Walk,2018-02-18 15:53:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
39862622,Walk,2018-09-29 12:26:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3536654,Walk,2018-03-04 17:38:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3751388,Walk,2018-01-14 16:14:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
315975,Walk,2018-10-14 14:42:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3719317,Walk,2018-09-16 12:38:00 UTC,MSQ2018: VOL DCCC,2= No
40397923,Walk,2018-10-27 18:36:00 UTC,2018MSQ: D Ticket ID,T- Ticket Splitter
4294288,Walk,2018-11-06 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Not Voting
21601216,Walk,2018-11-03 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Not Voting
13248949,Phone,2018-02-22 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
4179538,Phone,2016-10-17 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
4328789,Phone,2016-10-11 00:00:00 UTC,**SubVBMBallot,"No, In Person"
6408892,Phone,2018-08-18 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3416097,Phone,2018-08-07 00:00:00 UTC,2018MSQ: CandidNomin,i- Independent
4126108,Phone,2016-11-14 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3576804,Phone,2016-09-27 12:34:00 UTC,**MSQ2016 Ticket,1 - Strong Support
19586729,Phone,2016-10-27 00:00:00 UTC,MSQ2016 State House,5 - Support GOP
32349088,Phone,2018-09-29 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
4645192,Phone,2018-10-20 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
2173243,Phone,2018-10-09 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
3741738,Walk,2016-11-01 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
9454943,Walk,2016-10-14 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
31798180,Walk,2018-09-30 12:40:00 UTC,2018MSQ: CandidNomin,d- 1—Splitter moreDs
4215475,Walk,2016-07-29 17:59:00 UTC,**SubVBMBallot,"No, In Person"
4262502,Walk,2018-01-15 13:14:00 UTC,MSQ2018: VOL DCCC,2= No
20055455,Walk,2018-09-02 14:55:00 UTC,MSQ2018: VOL DCCC,2= No
3550650,Walk,2018-10-06 15:46:00 UTC,MSQ2018: VOL DCCC,2= No
3231366,Walk,2018-10-14 00:00:00 UTC,MSQ2016 State House,4 - Lean GOP
32766551,Walk,2018-09-02 14:33:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
4516621,Walk,2018-09-29 00:00:00 UTC,MSQ2016 State House,5 - Support GOP
3837403,Walk,2018-09-14 13:45:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3858011,Walk,2017-11-18 16:20:00 UTC,MSQ2018: VOL DCCC,2= No
