myv_van_id,age_combined,gender_combined,ethnicity_combined,zip,registration_date,van_precinct_name,state_house_district_latest,state_senate_district_latest,us_cong_district_latest
37835355,24,U,B,75228,2015-11-05,1065,100,023,030
40915631,26,U,,75150,2018-11-06,1300,107,002,005
40802481,47,U,,75043,2018-10-20,1722,113,002,032
38944227,56,U,B,75041,2016-11-08,1729,113,002,032
4055165,62,U,B,75081,2000-11-02,2514,102,008,032
3641764,102,U,B,75232,1996-07-07,3066,111,023,030
40066255,23,U,,75043,2018-06-13,3702,113,002,032
40796294,27,U,,75051,2018-10-26,4059,104,009,033
40777246,22,U,,75051,2018-10-26,4059,104,009,033
40914494,46,U,,75052,2018-11-06,4500,111,023,030
40396367,18,U,,75060,2018-06-20,4601,105,009,033
40397852,21,F,,75231,2018-03-10,1000,114,016,005
33471752,54,F,H,75231,2015-02-22,1000,114,016,005
4383260,51,F,B,75231,2005-11-03,1000,114,016,005
39331817,46,F,H,75231,2017-02-09,1000,114,016,005
37226721,22,F,H,75231,2014-10-23,1000,114,016,005
38204690,33,F,W,75231,2016-03-31,1000,114,016,005
4095591,63,F,B,75231,1998-09-17,1000,114,016,005
38470479,48,F,A,75231,2016-05-14,1001,108,016,005
32765482,37,F,W,75231,2014-01-01,1002,114,016,005
38772098,27,F,W,75231,2016-09-01,1002,114,016,005
31819378,58,F,W,75231,2012-11-03,1002,114,016,005
2688584,62,F,W,75231,2014-11-04,1002,114,016,005
13684140,30,F,W,75231,2011-05-05,1002,114,016,005
17538982,76,F,W,75231,2008-03-28,1002,114,016,005
3568805,89,F,W,75231,1992-04-19,1002,114,016,005
41046929,26,F,,75243,2018-11-29,1003,114,008,032
38772154,31,F,B,75243,2016-10-09,1003,114,008,032
31797682,37,F,H,75243,2012-11-01,1003,114,008,032
25885209,56,F,W,75243,2012-07-23,1003,114,008,032
3680193,54,F,B,75243,1995-08-26,1003,114,008,032
31796647,29,F,B,75243,2012-11-03,1003,114,008,032
38944229,39,F,B,75243,2016-11-08,1004,114,016,032
37669393,21,F,B,75243,2015-04-29,1004,114,016,032
519089,50,F,B,75243,2009-06-11,1004,114,016,032
32335328,23,F,B,75243,2013-05-26,1004,114,016,032
32621584,65,F,B,75243,2013-11-28,1004,114,016,032
3476943,67,F,W,75243,1982-04-08,1004,114,016,032
3342715,59,F,W,75243,2012-12-06,1005,114,016,032
20201188,30,F,B,75243,2008-10-23,1005,114,016,032
11106538,83,F,W,75243,2009-04-13,1005,114,016,032
3356930,87,F,W,75243,1976-03-31,1005,114,016,032
4192774,36,F,W,75243,2004-09-25,1005,114,016,032
40813884,18,F,,75243,2018-10-05,1005,114,016,032
3512803,83,F,W,75243,1992-11-23,1005,114,016,032
3853155,72,F,W,75243,2000-10-02,1005,114,016,032
3477898,64,F,W,75243,1984-04-04,1006,114,016,032
4201015,32,F,W,75243,2004-10-10,1006,114,016,032
4153992,44,F,W,75243,2002-08-21,1006,114,016,032
3202760,78,F,W,75243,1976-03-31,1006,114,016,032
3243614,67,F,W,75243,1982-03-01,1006,114,016,032
4095467,46,F,W,75243,1998-08-20,1006,114,016,032
2131809,60,F,W,75243,1990-11-06,1006,114,016,032
3644223,66,F,W,75243,1987-12-05,1006,114,016,032
13675764,33,F,W,75243,2018-04-21,1006,114,016,032
4912707,35,F,W,75243,2008-10-08,1006,114,016,032
3437860,66,F,W,75231,1976-05-01,1007,114,016,032
3344680,96,F,W,75231,1976-03-31,1008,114,016,032
13539114,92,F,W,75231,1976-03-31,1008,114,016,032
21412516,73,F,B,75231,2011-09-23,1008,114,016,032
3545815,92,F,W,75231,1976-03-31,1008,114,016,032
32494875,64,F,B,75231,2017-07-26,1008,114,016,032
3730502,80,F,W,75231,1994-12-11,1008,114,016,032
39861350,36,F,B,75231,2017-10-18,1008,114,016,032
41006712,28,F,,75231,2018-11-28,1008,114,016,032
39327628,35,F,A,75231,2017-03-31,1008,114,016,032
37156137,53,F,B,75231,2018-11-04,1009,114,016,005
31795296,29,F,B,75231,2012-11-09,1009,114,016,005
40794448,39,F,,75231,2018-10-22,1009,114,016,005
3685519,46,F,B,75231,1990-03-28,1009,114,016,005
37389471,45,F,W,75231,2014-12-10,1009,114,016,005
26124166,22,F,B,75230,2015-08-30,1010,114,016,032
41315210,30,F,,75230,2019-04-19,1010,114,016,032
40925927,25,F,,75230,2018-11-04,1010,114,016,032
22848611,53,F,W,75230,2012-11-06,1010,114,016,032
37931801,22,F,W,75230,2015-11-20,1010,114,016,032
39854284,29,F,W,75230,2017-12-08,1010,114,016,032
3666862,76,F,W,75231,1990-12-06,1011,114,016,005
39327706,19,F,H,75231,2017-03-06,1011,114,016,005
4240779,33,F,B,75231,2004-03-01,1011,114,016,005
20518677,27,F,B,75231,2010-02-22,1011,114,016,005
29171653,24,F,W,75231,2016-10-29,1011,114,016,005
19648975,37,F,W,75204,2015-11-12,1013,108,016,032
40396468,27,F,,75204,2018-06-30,1013,108,016,032
39857480,24,F,W,75204,2017-11-07,1013,108,016,032
40917988,22,F,,75204,2018-11-18,1013,108,016,032
37393491,54,F,W,75204,2014-11-21,1013,108,016,032
39857496,26,F,W,75204,2017-11-11,1013,108,016,032
11243871,34,F,W,75204,2015-03-19,1013,108,016,032
32569627,29,F,W,75204,2015-05-14,1013,108,016,032
37941505,62,F,W,75204,2015-09-11,1013,108,016,032
37725157,37,F,A,75204,2016-11-08,1013,108,016,032
39857475,33,F,W,75204,2017-11-24,1013,108,016,032
41191710,22,F,,75204,2019-03-29,1013,108,016,032
40463596,24,F,,75204,2018-07-25,1013,108,016,032
37387655,32,F,W,75204,2014-11-28,1013,108,016,032
20200344,28,F,W,75204,2008-10-10,1013,108,016,032
38474647,59,F,W,75204,2016-05-01,1013,108,016,032
37945121,37,F,W,75204,2015-11-13,1013,108,016,032
37669681,33,F,W,75204,2015-05-08,1013,108,016,032
37669575,26,F,W,75204,2015-05-10,1013,108,016,032
40794273,27,F,,75204,2018-11-06,1013,108,016,032
41304718,30,F,,75204,2019-05-11,1014,108,023,032
28883926,25,F,W,75204,2017-12-22,1014,108,023,032
39584858,26,F,W,75204,2017-08-18,1014,108,023,032
40807345,26,F,,75204,2018-11-06,1014,108,023,032
3556988,70,F,W,75204,1980-12-01,1014,108,023,032
13512136,32,F,W,75204,2010-04-17,1014,108,023,032
20528135,26,F,W,75204,2015-05-28,1014,108,023,032
21062543,28,F,W,75204,2018-10-27,1014,108,023,032
37492366,31,F,W,75204,2015-03-11,1014,108,023,032
31868494,25,F,H,75204,2018-03-09,1014,108,023,032
3752613,42,F,H,75204,1998-06-11,1014,108,023,032
3536602,61,F,W,75204,1977-12-31,1014,108,023,032
3674383,60,F,W,75206,1990-11-06,1015,108,023,032
20796575,28,F,W,75206,2010-11-06,1015,108,023,032
40584591,33,F,,75206,2018-09-04,1015,108,023,032
37944889,36,F,W,75204,2015-11-06,1015,108,023,032
37275497,29,F,W,75206,2014-10-23,1015,108,023,032
3506611,57,F,W,75206,1984-09-22,1015,108,023,032
37944892,30,F,W,75206,2015-09-26,1015,108,023,032
31498743,25,F,W,75206,2018-11-06,1015,108,023,032
40806639,26,F,,75206,2018-10-26,1015,108,023,032
21053632,25,F,W,75206,2016-11-30,1015,108,023,032
3073590,73,F,W,75206,1976-03-31,1015,108,023,032
3904452,48,F,W,75206,1998-01-22,1017,108,023,032
13551349,40,F,W,75206,2010-10-25,1017,108,023,032
3686325,45,F,W,75206,1991-09-08,1017,108,023,032
39017811,37,F,W,75206,2016-11-06,1017,108,023,032
13260578,36,F,W,75206,2006-07-02,1019,108,023,032
4274176,65,F,W,75206,2002-02-07,1019,108,023,032
38772706,34,F,W,75206,2016-10-13,1019,108,023,032
40468533,36,F,,75206,2018-06-21,1019,108,023,032
20826040,66,F,W,75206,2010-12-03,1019,108,023,032
38478145,52,F,W,75206,2016-06-24,1019,108,023,032
21048921,31,F,W,75206,2011-05-09,1019,108,023,032
3459940,48,F,W,75206,1988-07-26,1019,108,023,032
20290837,34,F,W,75205,2012-11-06,1020,108,016,032
37499705,32,F,W,75205,2015-02-04,1020,108,016,032
37285991,34,F,W,75205,2014-10-04,1020,108,016,032
13507576,63,F,W,75205,1978-05-01,1020,108,016,032
21123210,31,F,W,75205,2012-11-02,1020,108,016,032
6791634,64,F,W,75205,2018-07-26,1020,108,016,032
3747020,64,F,W,75219,1995-02-13,1021,108,016,032
20288922,28,F,W,75219,2018-04-23,1021,108,016,032
3217551,71,F,W,75219,1976-03-31,1021,108,016,032
3640938,66,F,W,75219,1996-02-11,1021,108,016,032
3713682,54,F,B,75219,1998-03-10,1021,108,016,032
11112553,79,F,W,75219,2018-11-09,1021,108,016,032
39021700,32,F,H,75219,2016-11-18,1022,103,016,032
2714357,37,F,H,75219,2016-07-07,1022,103,016,032
25472210,32,F,A,75219,2012-11-14,1022,103,016,032
4230861,53,F,W,75219,2004-09-24,1022,103,016,032
379762,55,F,W,75219,2014-07-18,1022,103,016,032
28993867,31,F,W,75219,2014-02-27,1022,103,016,032
31796177,70,F,W,75219,1984-11-08,1022,103,016,032
36953779,63,F,W,75219,2014-04-16,1022,103,016,032
4301409,60,F,W,75219,2005-06-18,1022,103,016,032
20804700,59,F,W,75219,2010-11-14,1022,103,016,032
3772304,48,F,W,75219,1999-11-28,1022,103,016,032
31830026,28,F,W,75219,2012-10-21,1022,103,016,032
32336187,50,F,W,75219,2013-05-27,1022,103,016,032
32336201,23,F,W,75219,2013-08-22,1022,103,016,032
20663272,32,F,W,75219,2010-01-28,1022,103,016,032
40467047,30,F,,75219,2018-04-08,1022,103,016,032
38772792,87,F,H,75219,2016-09-24,1022,103,016,032
38186891,56,F,W,75219,2016-02-26,1022,103,016,032
38772867,58,F,W,75214,2016-08-05,1023,108,023,032
39332543,30,F,W,75214,2017-02-24,1023,108,023,032
2047890,73,F,H,75214,1983-10-21,1023,108,023,032
2052211,46,F,H,75214,1990-08-25,1023,108,023,032
10568097,37,F,W,75214,2008-02-28,1023,108,023,032
3614087,47,F,W,75214,1989-11-28,1023,108,023,032
3585694,62,F,W,75214,1987-04-15,1023,108,023,032
